Date,Close,Open,High,Low,Volume,Percent
2017/9/12,22118.86 ,22090.56 ,22134.57 ,22087.09 ,364.58M,0.28%
2017/9/13,22158.18 ,22103.47 ,22158.18 ,22095.79 ,291.89M,0.18%
2017/9/14,22203.48 ,22144.96 ,22216.44 ,22135.26 ,297.78M,0.20%
2017/9/15,22268.34 ,22252.44 ,22275.02 ,22214.52 ,527.54M,0.29%
2017/9/16,22268.34 ,22252.44 ,22275.02 ,22214.52 ,527.54M,0.29%
2017/9/17,22268.34 ,22252.44 ,22275.02 ,22214.52 ,527.54M,0.29%
2017/9/18,22331.35 ,22297.92 ,22355.62 ,22283.35 ,302.74M,0.28%
2017/9/19,22370.80 ,22349.70 ,22386.01 ,22340.71 ,295.57M,0.18%
2017/9/20,22412.59 ,22351.38 ,22413.26 ,22314.68 ,334.56M,0.19%
2017/9/21,22359.23 ,22414.02 ,22419.51 ,22356.55 ,287.39M,-0.24%
2017/9/22,22349.59 ,22334.07 ,22364.31 ,22299.58 ,297.14M,-0.04%
2017/9/23,22349.59 ,22334.07 ,22364.31 ,22299.58 ,297.14M,-0.04%
2017/9/24,22349.59 ,22334.07 ,22364.31 ,22299.58 ,297.14M,-0.04%
2017/9/25,22296.09 ,22320.47 ,22359.88 ,22219.11 ,332.43M,-0.24%
2017/9/26,22284.32 ,22322.03 ,22369.35 ,22279.52 ,285.99M,-0.05%
2017/9/27,22340.71 ,22330.93 ,22371.10 ,22254.93 ,342.90M,0.25%
2017/9/28,22381.20 ,22306.83 ,22394.74 ,22288.97 ,263.01M,0.18%
2017/9/29,22405.09 ,22358.47 ,22405.63 ,22332.96 ,274.79M,0.11%
2017/9/30,22405.09 ,22358.47 ,22405.63 ,22332.96 ,274.79M,0.11%
2017/10/1,22405.09 ,22358.47 ,22405.63 ,22332.96 ,274.79M,0.11%
2017/10/2,22557.60 ,22423.47 ,22559.38 ,22416.00 ,268.53M,0.68%
2017/10/3,22641.67 ,22564.45 ,22646.32 ,22562.90 ,238.83M,0.37%
2017/10/4,22661.64 ,22645.67 ,22685.94 ,22632.80 ,235.73M,0.09%
2017/10/5,22775.39 ,22669.08 ,22777.04 ,22655.14 ,246.40M,0.50%
2017/10/6,22773.67 ,22762.03 ,22773.67 ,22730.85 ,221.45M,-0.01%
2017/10/7,22773.67 ,22762.03 ,22773.67 ,22730.85 ,221.45M,-0.01%
2017/10/8,22773.67 ,22762.03 ,22773.67 ,22730.85 ,221.45M,-0.01%
2017/10/9,22761.07 ,22779.73 ,22803.37 ,22739.38 ,310.77M,-0.06%
2017/10/10,22830.68 ,22784.76 ,22850.51 ,22770.99 ,319.27M,0.31%
2017/10/11,22872.89 ,22827.65 ,22872.89 ,22821.66 ,316.00M,0.18%
2017/10/12,22841.01 ,22854.85 ,22884.82 ,22821.13 ,291.79M,-0.14%
2017/10/13,22871.72 ,22876.43 ,22905.33 ,22855.93 ,259.56M,0.13%
2017/10/14,22871.72 ,22876.43 ,22905.33 ,22855.93 ,259.56M,0.13%
2017/10/15,22871.72 ,22876.43 ,22905.33 ,22855.93 ,259.56M,0.13%
2017/10/16,22956.96 ,22892.92 ,22960.12 ,22887.12 ,247.18M,0.37%
2017/10/17,22997.44 ,22952.41 ,23002.20 ,22948.23 ,273.09M,0.18%
2017/10/18,23157.60 ,23087.13 ,23172.93 ,23086.75 ,271.87M,0.70%
2017/10/19,23163.04 ,23107.47 ,23167.24 ,23052.67 ,350.40M,0.02%
2017/10/20,23328.63 ,23205.18 ,23328.84 ,23201.78 ,474.38M,0.71%
2017/10/21,23328.63 ,23205.18 ,23328.84 ,23201.78 ,474.38M,0.71%
2017/10/22,23328.63 ,23205.18 ,23328.84 ,23201.78 ,474.38M,0.71%
2017/10/23,23273.96 ,23348.95 ,23368.37 ,23273.96 ,456.83M,-0.23%
2017/10/24,23441.76 ,23346.78 ,23485.25 ,23343.23 ,406.85M,0.72%
2017/10/25,23329.46 ,23431.09 ,23451.51 ,23251.11 ,399.56M,-0.48%
2017/10/26,23400.86 ,23380.89 ,23459.84 ,23380.89 ,370.60M,0.31%
2017/10/27,23434.19 ,23419.16 ,23449.40 ,23353.16 ,518.87M,0.14%
2017/10/28,23434.19 ,23419.16 ,23449.40 ,23353.16 ,518.87M,0.14%
2017/10/29,23434.19 ,23419.16 ,23449.40 ,23353.16 ,518.87M,0.14%
2017/10/30,23348.74 ,23405.75 ,23428.75 ,23327.87 ,436.90M,-0.36%
2017/10/31,23377.24 ,23369.22 ,23406.35 ,23334.39 ,388.05M,0.12%
2017/11/1,23435.01 ,23442.90 ,23517.71 ,23388.91 ,361.26M,0.25%
2017/11/2,23516.26 ,23463.24 ,23531.38 ,23350.98 ,348.04M,0.35%
